 Ep_number: 19, Ep_Reward: -2170.0, Ep_tot_steps: 200, T_overlap: 17, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 3, atom_shift: 2.0 
 Ep_number: 20, Ep_Reward: -1927.7, Ep_tot_steps: 200, T_overlap: 2, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 3, atom_shift: 2.0 
 Ep_number: 21, Ep_Reward: -2050.0, Ep_tot_steps: 200, T_overlap: 5, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 3, atom_shift: 2.0 
 Ep_number: 22, Ep_Reward: -2014.7, Ep_tot_steps: 200, T_overlap: 6, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 1, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: 2.0 
 Ep_number: 23, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 6, atom_shift: 2.0 
 Ep_number: 24, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 8, atom_shift: 2.0 
 Ep_number: 25, Ep_Reward: -1291.8, Ep_tot_steps: 200, T_overlap: 7, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 1, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 6, atom_shift: 2.0 
 Ep_number: 26, Ep_Reward: -2020.0, Ep_tot_steps: 200, T_overlap: 3, T_nonbonded: 197, T_tot_all_min: 2, T_similar_min: 2, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 8, atom_shift: -2.0 
 Ep_number: 27, Ep_Reward: -1914.9, Ep_tot_steps: 200, T_overlap: 6, T_nonbonded: 198, T_tot_all_min: 2, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 1, T_high_low_min: 2, T_unique_min: (28, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 8, atom_shift: 2.0 
 Ep_number: 28, Ep_Reward: -2070.0, Ep_tot_steps: 200, T_overlap: 7, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 9, atom_shift: -2.0 
 Ep_number: 29, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 8, atom_shift: -2.0 
 Ep_number: 30, Ep_Reward: -2090.0, Ep_tot_steps: 200, T_overlap: 12, T_nonbonded: 195, T_tot_all_min: 5, T_similar_min: 2, T_lower_ene_min: 0, T_higher_ene_min: 3, T_high_low_min: 3, T_unique_min: (29, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 6, atom_shift: -2.0 
 Ep_number: 31, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 2, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 1, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 3, atom_shift: 2.0 
 Ep_number: 32, Ep_Reward: -2010.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 197, T_tot_all_min: 3, T_similar_min: 3, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 0, atom_shift: 2.0 
 Ep_number: 33, Ep_Reward: -1727.8, Ep_tot_steps: 200, T_overlap: 7, T_nonbonded: 199, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 1, T_higher_ene_min: 0, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 7, atom_shift: 2.0 
 Ep_number: 34, Ep_Reward: -2000.0, Ep_tot_steps: 200, T_overlap: 0, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 1, atom_shift: 2.0 
 Ep_number: 35, Ep_Reward: -2020.0, Ep_tot_steps: 200, T_overlap: 4, T_nonbonded: 198, T_tot_all_min: 1, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 1, T_high_low_min: 1, T_unique_min: (27, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 1, atom_shift: -2.0 
 Ep_number: 36, Ep_Reward: -1990.0, Ep_tot_steps: 200, T_overlap: 1, T_nonbonded: 197, T_tot_all_min: 3, T_similar_min: 1, T_lower_ene_min: 0, T_higher_ene_min: 2, T_high_low_min: 2, T_unique_min: (28, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 3, atom_shift: 2.0 
 Ep_number: 37, Ep_Reward: -2030.0, Ep_tot_steps: 200, T_overlap: 3, T_nonbonded: 200, T_tot_all_min: 0, T_similar_min: 0, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 2, atom_shift: 2.0 
 Ep_number: 38, Ep_Reward: -2080.0, Ep_tot_steps: 200, T_overlap: 8, T_nonbonded: 192, T_tot_all_min: 8, T_similar_min: 8, T_lower_ene_min: 0, T_higher_ene_min: 0, T_high_low_min: 0, T_unique_min: (26, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 8, atom_shift: 2.0 
 Ep_number: 39, Ep_Reward: -1031.6, Ep_tot_steps: 200, T_overlap: 5, T_nonbonded: 194, T_tot_all_min: 5, T_similar_min: 2, T_lower_ene_min: 2, T_higher_ene_min: 1, T_high_low_min: 3, T_unique_min: (29, 25), Initial Ene:  8.8811, GM_ene:  7.9452, atom select: 4, atom_shift: 2.0 
